subject,model,model_method,method,k,accuracy,accuracy_drop,full_channels_acc,retention_rate
S006,ACS_SE_CNN,ACS_SE_CNN,default,15,0.7421,-0.004,0.7461,99.46387883661707
S006,ACS_SE_CNN,ACS_SE_CNN,default,20,0.7579,-0.0198,0.7777000000000001,97.45403111739745
S006,ACS_SE_CNN,ACS_SE_CNN,default,25,0.7817,-0.0437,0.8253999999999999,94.70559728616429
S006,ACS_SE_CNN,ACS_SE_CNN,default,30,0.754,-0.0159,0.7699,97.93479672684764
S006,G_CARM,G_CARM-ES,ES,10,0.7341,-0.004,0.7381,99.45806801246444
S006,G_CARM,G_CARM-ES,ES,15,0.7143,0.0159,0.6984,102.27663230240552
S006,G_CARM,G_CARM-ES,ES,20,0.7222,0.0079,0.7142999999999999,101.1059778804424
S006,G_CARM,G_CARM-ES,ES,25,0.6786,0.0516,0.627,108.22966507177034
S006,G_CARM,G_CARM-ES,ES,30,0.7024,0.0278,0.6746,104.12096056922621
S006,G_CARM,G_CARM-AS,AS,10,0.7222,0.0079,0.7142999999999999,101.1059778804424
S006,G_CARM,G_CARM-AS,AS,15,0.7262,0.004,0.7222,100.55386319579065
S006,G_CARM,G_CARM-AS,AS,20,0.746,-0.0159,0.7619,97.91311195694973
S006,G_CARM,G_CARM-AS,AS,25,0.7341,-0.004,0.7381,99.45806801246444
S006,G_CARM,G_CARM-AS,AS,30,0.746,-0.0159,0.7619,97.91311195694973
S007,FBCSP,FBCSP,default,10,0.7222,0.004,0.7182,100.55694792536897
S007,FBCSP,FBCSP,default,15,0.7698,-0.0437,0.8135,94.62814996926859
S007,FBCSP,FBCSP,default,20,0.746,-0.0198,0.7658,97.41446852964219
S007,FBCSP,FBCSP,default,25,0.7183,0.0079,0.7104,101.11204954954955
S007,FBCSP,FBCSP,default,30,0.746,-0.0198,0.7658,97.41446852964219
S007,CNN_SAE,CNN_SAE,default,10,0.9365,-0.0357,0.9722,96.32791606665295
S007,CNN_SAE,CNN_SAE,default,15,0.9206,-0.0198,0.9404,97.89451297320288
S007,CNN_SAE,CNN_SAE,default,20,0.9286,-0.0278,0.9564,97.09326641572564
S007,CNN_SAE,CNN_SAE,default,25,0.9365,-0.0357,0.9722,96.32791606665295
S007,CNN_SAE,CNN_SAE,default,30,0.9167,-0.0159,0.9326,98.29508899849881
S007,EEGNET,EEGNET,default,10,0.9643,-0.004,0.9683,99.58690488484973
S007,EEGNET,EEGNET,default,15,0.9643,-0.004,0.9683,99.58690488484973
S007,EEGNET,EEGNET,default,20,0.9643,-0.004,0.9683,99.58690488484973
S007,EEGNET,EEGNET,default,25,0.9802,-0.0198,1.0,98.02
S007,EEGNET,EEGNET,default,30,0.9841,-0.0238,1.0079,97.63865462843536
S007,ACS_SE_CNN,ACS_SE_CNN,default,10,0.8849,0.0119,0.873,101.36311569301259
S007,ACS_SE_CNN,ACS_SE_CNN,default,15,0.8968,0.0,0.8968,100.0
S007,ACS_SE_CNN,ACS_SE_CNN,default,20,0.8373,0.0595,0.7778,107.64978143481613
S007,ACS_SE_CNN,ACS_SE_CNN,default,25,0.881,0.0159,0.8651,101.83793781065773
S007,ACS_SE_CNN,ACS_SE_CNN,default,30,0.881,0.0159,0.8651,101.83793781065773
S007,G_CARM,G_CARM-ES,ES,10,0.8849,-0.0278,0.9127000000000001,96.9540922537526
S007,G_CARM,G_CARM-ES,ES,15,0.877,-0.0198,0.8968,97.7921498661909
S007,G_CARM,G_CARM-ES,ES,20,0.8571,0.0,0.8571,100.0
S007,G_CARM,G_CARM-ES,ES,25,0.8452,0.0119,0.8332999999999999,101.42805712228488
S007,G_CARM,G_CARM-ES,ES,30,0.8571,0.0,0.8571,100.0
S007,G_CARM,G_CARM-AS,AS,10,0.9048,-0.0476,0.9524,95.00209995800084
S007,G_CARM,G_CARM-AS,AS,15,0.869,-0.0119,0.8809,98.64910886593256
S007,G_CARM,G_CARM-AS,AS,20,0.869,-0.0119,0.8809,98.64910886593256
S007,G_CARM,G_CARM-AS,AS,25,0.877,-0.0198,0.8968,97.7921498661909
S007,G_CARM,G_CARM-AS,AS,30,0.8651,-0.0079,0.873,99.09507445589921
S008,FBCSP,FBCSP,default,10,0.631,-0.0238,0.6548,96.36530238240684
S008,FBCSP,FBCSP,default,15,0.6627,-0.0556,0.7182999999999999,92.25950160100237
S008,FBCSP,FBCSP,default,20,0.7063,-0.0992,0.8055,87.6846679081316
S008,FBCSP,FBCSP,default,25,0.6984,-0.0913,0.7897000000000001,88.43864758769152
S008,FBCSP,FBCSP,default,30,0.6706,-0.0635,0.7341,91.34995232257185
S008,CNN_SAE,CNN_SAE,default,10,0.9603,-0.0516,1.0119,94.90068188556182
S008,CNN_SAE,CNN_SAE,default,15,0.9246,-0.0159,0.9405,98.30940988835725
S008,CNN_SAE,CNN_SAE,default,20,0.9286,-0.0198,0.9484,97.91227330240405
